code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price,P/E,EPS,DY,52w low,52w high,P/E min,P/E max,P/E mid,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg
0054,KARYON INDUSTRIES BERHAD,Chemicals,2020-03-01,10,2.0,0.17,0.04,0.25,25.0,0.01,4.0,0.17,0.355,6.5,28.0,17.25,4.33,-7.34,-4.11,4.33
0055,SERSOL BERHAD,Chemicals,2020-12-01,8,1.0,-0.0,0.0,0.27,204.0,0.0,0.0,0.12,0.45,-46.0,-12.25,-29.12,0.0,-11.54,0.0,0.0
0105,ASIA POLY HOLDINGS BERHAD,Chemicals,2020-12-01,10,1.5,0.11,0.04,0.26,14.0,0.02,0.0,0.235,0.6,-7.0,18.0,5.5,1.99,138.11,41.81,1.99
3298,HEXZA CORPORATION BERHAD,Chemicals,2020-06-01,10,2.0,0.5,0.12,1.01,16.0,0.06,7.43,1.0,2.26,-6.6,23.17,8.28,1.92,-11.48,1.92,-0.26
4758,ANCOM BERHAD,Chemicals,2020-05-01,10,1.5,-0.07,0.0,1.5,85.0,0.02,0.0,0.688,1.84,-18.62,11.29,-3.67,0.0,0.0,0.0,0.0
4944,NYLEX (MALAYSIA) BERHAD,Chemicals,2020-05-01,10,1.0,0.67,-0.0,0.83,-15.0,-0.06,0.0,0.517,0.945,-32.0,9.55,-11.22,0.0,0.0,0.0,0.0
5134,SOUTHERN ACIDS (M) BERHAD,Chemicals,2020-03-01,10,1.5,3.1,0.83,3.89,14.0,0.27,1.29,3.5,4.2,0.0,22.94,11.47,3.06,-13.03,3.06,11.54
5143,LUXCHEM CORPORATION BERHAD,Chemicals,2020-12-01,10,2.5,1.24,0.11,0.725,12.0,0.06,4.14,0.685,1.47,12.0,29.4,20.7,1.8,4.57,1.8,7.19
5147,SAMCHEM HOLDINGS BERHAD,Chemicals,2020-12-01,10,2.5,3.18,0.98,0.72,7.0,0.1,2.92,0.35,1.03,15.86,47.67,31.76,9.75,22.15,58.81,9.75
5151,HEXTAR GLOBAL BERHAD,Chemicals,2020-12-01,10,2.0,0.33,0.14,0.99,28.0,0.03,2.53,0.375,1.137,-13.14,35.0,10.93,4.71,0.0,0.0,4.71
5183,PETRONAS CHEMICALS GROUP BERHAD,Chemicals,2020-12-01,10,1.5,8.31,0.0,8.06,25.0,0.32,1.49,5.16,8.58,14.81,37.15,25.98,0.0,-26.89,-10.23,-6.67
5284,LOTTE CHEMICAL TITAN HOLDING BERHAD,Chemicals,2020-12-01,7,2.0,6.53,0.0,2.69,8.0,0.33,1.22,1.66,3.54,0.0,39.57,19.78,0.0,-50.39,-23.43,0.0
5289,TECHBOND GROUP BERHAD,Chemicals,2020-06-01,6,2.5,0.41,0.05,0.45,21.0,0.02,0.98,0.33799999999999997,0.871,0.0,40.75,20.38,2.49,-9.69,2.49,0.0
7173,TOYO VENTURES HOLDINGS BERHAD,Chemicals,2019-03-01,10,1.0,0.0,0.0,2.1,452.0,0.0,0.48,0.68,4.31,-10.29,78.0,33.86,46.29,46.29,-2.13,0.0
7222,IMASPRO CORPORATION BERHAD,Chemicals,2020-06-01,10,1.5,4.8,0.0,2.23,63.0,0.04,1.57,1.85,2.6,18.08,222.0,120.04,0.0,-42.34,-35.64,-18.25
7498,RALCO CORPORATION BERHAD,Chemicals,2020-12-01,7,1.0,0.02,0.0,1.05,42.0,0.03,0.0,0.29,1.34,-13.2,14.33,0.57,0.0,0.0,-45.59,-19.33
8443,HIL INDUSTRIES BERHAD,Chemicals,2020-12-01,9,2.0,1.17,0.13,0.915,11.0,0.08,1.64,0.54,1.28,9.42,19.75,14.58,1.58,22.15,7.38,1.58
9954,RGT BERHAD,Chemicals,2020-06-01,10,1.0,0.14,0.0,0.335,16.0,0.02,0.9,0.325,0.69,-13.5,27.0,6.75,0.0,0.0,0.0,0.0
5108,ICAPITAL.BIZ BERHAD,Closed End Fund,2020-12-01,10,2.0,0.0,-0.0,1.88,-774.0,-0.0,0.0,1.85,2.22,-0.06,0.01,-0.02,0.0,0.0,0.0,0.0
0109,SC ESTATE BUILDER BERHAD,Construction,2019-01-01,9,1.0,-0.0,0.0,0.085,222.0,0.0,0.0,0.035,0.14,-9.0,-1.33,-5.16,0.0,0.0,0.0,0.0
0162,WIDAD GROUP BERHAD,Construction,2020-12-01,9,0.5,0.0,0.0,0.395,385.0,0.0,0.0,0.385,0.82,-16.0,25.0,4.5,0.0,-60.37,0.0,-32.78
0192,INTA BINA GROUP BERHAD,Construction,2020-12-01,7,1.5,0.15,0.0,0.315,15.0,0.02,2.7,0.21,0.4,0.0,15.25,7.62,0.0,-26.74,-10.94,0.0
0198,GDB HOLDINGS BERHAD,Construction,2020-12-01,7,3.0,0.47,0.98,0.52,17.0,0.03,3.48,0.488,0.976,0.0,31.17,15.58,32.51,-2.98,32.51,0.0
0206,GAGASAN NADI CERGAS BERHAD,Construction,2020-12-01,7,0.5,0.16,0.0,0.285,16.0,0.02,1.75,0.24,0.34,0.0,15.75,7.88,0.0,-36.91,-19.85,0.0
0221,TCS GROUP HOLDINGS BERHAD,Construction,2020-12-01,5,3.5,0.22,1.8,0.47,12.0,0.04,4.26,0.32,0.76,0.0,11.0,5.5,44.88,44.88,0.0,0.0
2283,ZELAN BERHAD,Construction,2020-12-01,10,1.0,0.14,0.19,0.125,3.0,0.04,0.0,0.075,0.23,-1.5,8.5,3.5,4.76,0.0,4.76,0.0
3204,GEORGE KENT (MALAYSIA) BERHAD,Construction,2020-01-01,10,1.5,1.84,0.65,0.7,9.0,0.08,5.0,0.62,1.0,3.67,42.44,23.06,8.17,-24.56,9.13,8.17
3336,IJM CORPORATION BERHAD,Construction,2021-03-01,10,1.0,2.53,0.04,1.75,15.0,0.12,3.43,1.2,2.06,15.36,26.8,21.08,0.34,7.35,-11.41,0.34
3565,WCE HOLDINGS BERHAD,Construction,2020-03-01,10,0.0,-0.57,-0.0,0.42,-10.0,-0.04,0.0,0.22,0.505,-15.67,44.0,14.16,0.0,0.0,0.0,0.0
4723,JAKS RESOURCES BERHAD,Construction,2020-12-01,10,2.0,-0.27,-0.0,0.475,-18.0,-0.03,0.0,0.396,0.825,-6.32,24.0,8.84,0.0,0.0,0.0,0.0
5006,STELLA HOLDINGS BERHAD,Construction,2020-03-01,10,1.0,0.07,1.03,1.02,22.0,0.05,2.45,0.65,1.42,-11.57,14.25,1.34,20.55,20.55,-4.58,-7.6
5042,TSR CAPITAL BERHAD,Construction,2020-06-01,10,1.0,0.78,0.83,0.27,4.0,0.07,0.0,0.22,0.425,-2.87,25.25,11.19,11.91,18.36,35.74,11.91
5054,TRC SYNERGY BERHAD,Construction,2020-12-01,10,1.0,0.69,0.39,0.355,5.0,0.07,5.92,0.295,0.42,6.17,13.5,9.84,5.58,-2.89,-1.84,5.58
5070,PROTASCO BERHAD,Construction,2020-12-01,10,1.0,-0.66,-0.0,0.23,-5.0,-0.04,0.0,0.195,0.345,-6.4,39.5,16.55,0.0,0.0,0.0,0.0
5085,MUDAJAYA GROUP BERHAD,Construction,2020-12-01,10,0.0,0.16,-0.0,0.2,-3.0,-0.07,0.0,0.2,0.345,-4.23,-0.43,-2.33,0.0,0.0,0.0,0.0
5129,MELATI EHSAN HOLDINGS BERHAD,Construction,2020-08-01,10,1.0,0.33,0.0,0.6,55.0,0.01,1.67,0.335,0.855,3.06,62.0,32.53,0.0,-2.35,-21.96,-8.43
5169,HO HUP CONSTRUCTION COMPANY BHD,Construction,2020-12-01,10,0.0,0.36,0.34,0.405,5.0,0.08,0.0,0.355,0.56,3.64,5.3,4.47,4.3,4.3,-8.1,0.0
5171,KIMLUN CORPORATION BERHAD,Construction,2020-12-01,10,1.5,0.76,0.0,0.84,28.0,0.03,1.19,0.7,1.01,5.68,44.75,25.22,0.0,-51.73,-36.97,-18.67
5190,BENALEC HOLDINGS BERHAD,Construction,2020-12-01,9,1.5,-1.67,-0.0,0.13,-2.0,-0.07,0.0,0.095,0.195,-1.88,49.5,23.81,0.0,0.0,0.0,0.0
5205,EVERSENDAI CORPORATION BERHAD,Construction,2020-12-01,10,1.0,-1.34,-0.0,0.23,-2.0,-0.15,0.0,0.19,0.355,-1.85,19.75,8.95,0.0,0.0,0.0,0.0
5226,GABUNGAN AQRS BERHAD,Construction,2020-12-01,10,1.0,-0.68,-0.0,0.525,-5.0,-0.1,1.9,0.51,0.895,-6.18,19.67,6.75,0.0,0.0,0.0,0.0
5253,ECONPILE HOLDINGS BERHAD,Construction,2020-06-01,8,1.5,-0.0,-0.0,0.39,-86.0,-0.0,0.0,0.32,0.67,10.57,41.67,26.12,0.0,-69.51,-45.7,0.0
5263,SUNWAY CONSTRUCTION GROUP BERHAD,Construction,2020-12-01,9,2.0,1.3,0.0,1.56,26.0,0.06,2.56,1.5,2.01,12.09,31.33,21.71,0.0,-19.12,-10.53,0.0
5268,IKHMAS JAYA GROUP BERHAD,Construction,2019-12-01,6,1.5,-1.35,-0.0,0.055,-1.0,-0.05,0.0,0.05,0.325,-2.0,56.0,27.0,0.0,0.0,0.0,0.0
5281,ADVANCECON HOLDINGS BERHAD,Construction,2020-12-01,5,1.5,0.0,0.0,0.355,148.0,0.0,2.82,0.335,0.475,0.0,39.5,19.75,0.0,-53.23,0.0,0.0
5293,AME ELITE CONSORTIUM BERHAD,Construction,2020-03-01,5,2.0,0.84,0.99,2.58,20.0,0.13,1.55,1.5,2.77,0.0,12.94,6.47,7.6,7.6,0.0,0.0
5398,GAMUDA BERHAD,Construction,2020-07-01,10,1.5,2.59,0.12,2.84,20.0,0.14,2.11,2.84,4.0,13.25,23.73,18.49,0.89,-14.4,-12.39,0.89
5622,PIMPINAN EHSAN BERHAD,Construction,2020-12-01,9,1.0,-2.32,-0.0,1.49,-45.0,-0.03,0.0,0.685,2.41,-80.5,235.0,77.25,0.0,0.0,0.0,0.0
5703,MUHIBBAH ENGINEERING (M) BHD,Construction,2020-12-01,10,1.5,-3.89,-0.0,0.945,-4.0,-0.25,2.65,0.725,1.21,-4.0,35.14,15.57,0.0,0.0,0.0,0.0
5932,BINA PURI HOLDINGS BHD,Construction,2020-06-01,10,0.0,-0.36,-0.0,0.07,-2.0,-0.03,0.0,0.065,0.125,-2.17,26.0,11.92,0.0,0.0,0.0,0.0
6238,HOCK SENG LEE BERHAD,Construction,2020-12-01,10,1.5,0.9,0.0,0.975,17.0,0.06,2.46,0.8,1.15,13.3,16.67,14.99,0.0,-11.06,-15.54,-7.6
6807,PUNCAK NIAGA HOLDINGS BERHAD,Construction,2020-12-01,10,0.0,0.31,0.0,0.345,13.0,0.03,0.0,0.19,0.635,-2.46,23.25,10.4,0.0,0.0,-37.13,-25.54
7028,ZECON BERHAD,Construction,2020-06-01,10,1.5,-0.11,-1.69,0.44,-7.0,-0.06,0.0,0.4,0.635,-1.66,5.18,1.76,28.13,28.13,0.0,33.3
7047,FAJARBARU BUILDER GROUP BHD,Construction,2020-06-01,10,1.0,0.76,0.0,0.71,10.0,0.07,2.46,0.345,0.87,3.39,18.33,10.86,0.0,-6.46,0.0,-4.31
7070,VIZIONE HOLDINGS BERHAD,Construction,2019-05-01,8,1.0,-0.82,-7.23,0.17,-8.0,-0.02,0.0,0.15,0.535,-0.21,82.0,40.9,361.36,361.36,0.0,0.0
7071,OCR GROUP BERHAD,Construction,2020-12-01,10,1.0,-0.0,-0.0,0.18,-303.0,-0.0,0.0,0.17,0.355,-27.75,29.0,0.62,0.0,-40.76,0.0,0.0
7078,AHMAD ZAKI RESOURCES BERHAD,Construction,2018-12-01,10,0.0,-0.3,-0.21,0.23,-9.0,-0.02,0.0,0.19,0.365,6.1,23.88,14.99,10.26,-17.16,10.26,-5.41
7145,PRINSIPTEK CORPORATION BERHAD,Construction,2020-06-01,10,1.5,0.24,0.36,0.1,3.0,0.03,0.0,0.09,0.18,2.14,14.0,8.07,12.11,89.71,16.85,12.11
7161,KERJAYA PROSPEK GROUP BERHAD,Construction,2020-12-01,10,2.0,1.94,0.06,1.17,15.0,0.08,2.56,0.89,1.53,11.5,36.91,24.2,0.76,-11.18,0.76,0.0
7240,VERTICE BERHAD,Construction,2020-03-01,9,1.0,0.98,-0.0,0.25,-2.0,-0.1,0.0,0.17,0.49,-109.0,89.5,-9.75,0.0,0.0,0.0,0.0
7528,DKLS INDUSTRIES BHD,Construction,2020-12-01,10,1.5,2.93,0.62,1.78,10.0,0.18,1.12,1.31,1.79,2.73,29.83,16.28,3.45,34.61,-11.42,3.45
7595,MGB BERHAD,Construction,2020-12-01,7,1.5,0.67,0.0,0.74,17.0,0.04,0.0,0.445,1.05,0.79,32.5,16.64,0.0,-30.92,-44.22,0.0
8192,MERCURY INDUSTRIES BERHAD,Construction,2020-12-01,9,1.5,2.68,-0.0,1.1,-11.0,-0.1,0.0,0.48,1.25,-76.0,22.5,-26.75,0.0,0.0,0.0,0.0
