code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,10,0.45,0.26,0.6,1.53,-39.0,-0.01,-2.22,0.0,0.0,-0.75,-0.2,0.97,0.81,7.78,7.06,58.5,32.78,18.9,0.0,0.0,0.0,0.0,6.85,5.19,5.28,8.74,6.85,1.51,1.63,1.98,1.51,18.83,0,0,0,1+4+10,1,1+2+3+7+8+10,9,268,589,0.03,0.0,23,19
8419,PANSAR BERHAD,Industrial Products & Services,2019-03-01,10,0.825,0.43,0.815,0.39,33.0,0.02,2.42,0.01,1.21,6.33,4.44,0.0,0.0,3.07,6.0,58.5,32.25,22.47,0.0,-2.68,-12.57,0.0,7.39,4.56,2.21,4.09,7.39,1.61,1.5,1.83,1.61,37.65,1,0,0,1+3+4+6+10,+,1+3+4+6+8+10,2,275,368,0.03,0.02,15,12
8443,HIL INDUSTRIES BERHAD,Industrial Products & Services,2018-12-01,9,0.53,0.415,0.605,1.05,8.0,0.06,11.32,0.02,3.3,6.1,5.15,0.0,0.0,11.08,-42.0,66.5,12.25,21.36,43.66,-0.21,43.66,-4.65,5.01,4.16,7.53,6.98,0.0,2.28,2.22,1.78,0.0,25.98,0,0,0,3+4+7+8+9,7,2+3+4+6+7+8+9,1,153,107,0.06,0.05,47,-5
8478,HWA TAI INDUSTRIES BERHAD,Consumer Products & Services,2018-12-01,6,0.29,0.15,0.35,0.3005,-10.0,-0.03,-10.34,0.0,0.0,-9.88,-14.55,0.03,0.02,-0.67,-6.83,46.5,19.84,39.75,0.0,0.0,0.0,0.0,-3.86,9.21,-4.31,-5.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+5+6,1+3+4+5,1+3+4+5+6,1,66,65,0.01,-0.05,3,0
8486,LION FOREST INDUSTRIES BERHAD,Industrial Products & Services,2019-06-01,10,0.31,0.185,0.475,2.42,7.0,0.05,16.13,0.0,0.0,1.91,1.65,0.0,0.0,-2.5,-1.57,136.0,67.22,27.41,0.0,0.0,0.0,-25.48,-29.6,94.44,11.76,-61.09,-29.6,1.43,0.0,0.0,1.43,38.24,0,0,0,3+4+5+6+7+10,4+5+6,1+3+4+5+6+8+10,1+4+5+6+7+8+9,288,476,0.66,0.04,45,-18
8494,LBI CAPITAL BERHAD,Property,2018-12-01,10,0.42,0.345,0.875,1.39,7.0,0.06,14.29,0.05,11.9,4.4,2.54,0.02,0.03,25.61,4.39,19.17,11.78,11.76,0.0,-38.19,-14.69,-7.39,10.72,6.03,12.18,11.6,10.72,3.37,6.47,5.13,3.37,17.78,1,0,0,1+2+3+6+9+10,+,1+2+6+8+10,1+2+5+8+9,59,15,0.05,0.04,14,-1
8524,TALIWORKS CORPORATION BERHAD,Utilities,2019-12-01,10,0.845,0.635,0.98,0.5038,21.0,0.04,4.73,0.05,6.21,7.94,7.29,0.4,0.43,27.44,11.47,63.5,37.48,35.28,4.44,-15.76,-25.58,4.44,3.76,2.17,4.52,4.22,3.76,2.1,4.75,3.95,2.1,81.43,1,0,0,4+9,+,1+3+5+7+10,9,172,360,0.02,0.04,50,643
8532,SINOTOP HOLDINGS BERHAD,Consumer Products & Services,2019-06-01,10,0.465,0.08,0.55,0.28,-3.0,-0.16,-34.41,0.0,0.0,-57.86,-51.23,0.0,0.0,-41.9,-1.2,68.5,33.65,13.46,0.0,0.0,0.0,0.0,48.56,132.54,-31.18,-12.89,48.56,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+4+7+8+9+10,1+10,1+2+3+5+6+7+8+9+10,5+10,65,16,-0.1,-0.19,0,24
8567,SALCON BERHAD,Utilities,2018-12-01,10,0.165,0.1,0.28,0.52,-16.0,-0.01,-6.06,0.0,0.0,-1.96,0.47,0.02,0.02,4.13,-7.83,62.0,27.08,33.42,0.0,-26.18,-40.36,-16.49,1.89,5.35,-3.5,-1.42,1.89,1.52,2.12,1.27,1.52,16.52,0,0,0,1+3+4+6+7+8+10,2,1+2+5+7+8+10,1+2+3+5+6+7+8,370,130,0.04,0.0,44,-30
8583,MAH SING GROUP BERHAD,Property,2019-12-01,10,0.435,0.305,0.95,1.44,5.0,0.08,18.39,0.04,10.34,5.73,2.26,0.09,0.09,10.86,9.67,23.0,16.34,14.51,0.0,-30.65,-22.66,-5.84,7.38,1.83,7.79,8.56,7.38,3.75,6.05,5.58,3.75,46.68,1,0,0,1+2+3+4,+,1+2+3+4+5+7+10,5+9+10,1110,1790,0.08,0.04,-302,416
