code,name
3069,MEGA FIRST CORPORATION BERHAD
3107,FIMA CORPORATION BERHAD
3158,YNH PROPERTY BERHAD
3174,LAND & GENERAL BERHAD
3182,GENTING BERHAD
3204,GEORGE KENT (MALAYSIA) BERHAD
3239,BERJAYA ASSETS BERHAD
3247,GUH HOLDINGS BERHAD
3255,HEINEKEN MALAYSIA BERHAD
3298,HEXZA CORPORATION BERHAD
3301,HONG LEONG INDUSTRIES BERHAD
3336,IJM CORPORATION BERHAD
3379,INSAS BERHAD
3395,BERJAYA CORPORATION BERHAD
3417,EASTERN & ORIENTAL BERHAD
3441,JOHAN HOLDINGS BERHAD
3476,KECK SENG (MALAYSIA) BERHAD
3484,DAMANSARA REALTY BHD
3514,MARCO HOLDINGS BERHAD
3557,ECOFIRST CONSOLIDATED BHD
3565,WCE HOLDINGS BERHAD
3573,LIEN HOE CORPORATION BERHAD
3611,PARAGON GLOBE BERHAD
3662,MALAYAN FLOUR MILLS BERHAD
3689,FRASER & NEAVE HOLDINGS BHD
3719,PANASONIC MANUFACTURING MALAYSIA BERHAD
3743,SUNSURIA BERHAD
3778,MELEWAR INDUSTRIAL GROUP BERHAD
3794,MALAYAN CEMENT BERHAD
3816,MISC BERHAD
3859,MAGNUM BERHAD
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD
3883,MUDA HOLDINGS BERHAD
3891,MALAYAN UNITED INDUSTRIES BERHAD
3905,MULPHA INTERNATIONAL BERHAD
3913,MUI PROPERTIES BERHAD
3948,DUTALAND BERHAD
4006,ORIENTAL HOLDINGS BERHAD
4022,TADMAX RESOURCES BERHAD
4057,ASIAN PAC HOLDINGS BERHAD
4065,PPB GROUP BERHAD
4081,PAN MALAYSIA CORPORATION BERHAD
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD
4197,SIME DARBY BERHAD
4219,BERJAYA LAND BERHAD
4235,LION INDUSTRIES CORPORATION BERHAD
4243,WTK HOLDINGS BERHAD
4251,I-BERHAD
4286,SEAL INCORPORATED BERHAD
4316,SIN HENG CHAN (MALAYA) BERHAD
4324,HENGYUAN REFINING COMPANY BERHAD
4359,TURIYA BERHAD
4375,SOUTH MALAYSIA INDUSTRIES BERHAD
4383,JAYA TIASA HOLDINGS BHD
4405,TAN CHONG MOTOR HOLDINGS BERHAD
4456,DAGANG NEXCHANGE BERHAD
4464,PEGASUS HEIGHTS BERHAD
4502,MEDIA PRIMA BERHAD
4588,UMW HOLDINGS BERHAD
4596,SAPURA RESOURCES BERHAD
4634,POS MALAYSIA BERHAD
4677,YTL CORPORATION BERHAD
4707,NESTLE (MALAYSIA) BERHAD
4715,GENTING MALAYSIA BERHAD
4723,JAKS RESOURCES BERHAD
4731,SCIENTEX BERHAD
4758,ANCOM BERHAD
4847,KONSORTIUM TRANSNASIONAL BERHAD
4863,TELEKOM MALAYSIA BERHAD
4936,MALPAC HOLDINGS BERHAD
4944,NYLEX (MALAYSIA) BERHAD
4995,VERSATILE CREATIVE BERHAD
5000,HUME CEMENT INDUSTRIES BERHAD
5001,MIECO CHIPBOARD BERHAD
5005,UNISEM (M) BERHAD
5006,STELLA HOLDINGS BERHAD
5007,CHIN WELL HOLDINGS BERHAD
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD
5009,WHITE HORSE BERHAD
5010,TONG HERR RESOURCES BERHAD
5011,MESINIAGA BERHAD
5012,TA ANN HOLDINGS BERHAD
5014,MALAYSIA AIRPORTS HOLDINGS BERHAD
5015,APM AUTOMOTIVE HOLDINGS BERHAD
5016,WARISAN TC HOLDINGS BERHAD
5020,GLOMAC BERHAD
5021,AYS VENTURES BERHAD
5022,PAOS HOLDINGS BERHAD
5024,HUP SENG INDUSTRIES BERHAD
5025,NWP HOLDINGS BERHAD
5026,MHC PLANTATIONS BHD
5027,KIM LOONG RESOURCES BERHAD
5028,HEITECH PADU BERHAD
5029,FAR EAST HOLDINGS BERHAD
5031,TIME DOTCOM BERHAD
5032,BINTULU PORT HOLDINGS BERHAD
5035,KNUSFORD BERHAD
5036,EDARAN BERHAD
5037,COMPUGATES HOLDINGS BERHAD
5038,KSL HOLDINGS BERHAD
5040,MERIDIAN BERHAD
5041,PBA HOLDINGS BHD
5042,TSR CAPITAL BERHAD
5047,NPC RESOURCES BERHAD
5048,YB VENTURES BERHAD
5049,COUNTRY VIEW BERHAD
5053,OSK HOLDINGS BERHAD
5054,TRC SYNERGY BERHAD
5056,ENGTEX GROUP BERHAD
5062,HUA YANG BERHAD
5065,ORNAPAPER BERHAD
5066,NTPM HOLDINGS BERHAD
5068,LUSTER INDUSTRIES BHD.
5069,BLD PLANTATION BHD.
5070,PROTASCO BERHAD
5071,COASTAL CONTRACTS BHD
5072,HIAP TECK VENTURE BERHAD
5073,NAIM HOLDINGS BERHAD
5075,PLENITUDE BERHAD
5077,MALAYSIAN BULK CARRIERS BERHAD
5078,MARINE & GENERAL BERHAD
5079,GETS GLOBAL BERHAD
5080,POH KONG HOLDINGS BERHAD
5081,ESTHETICS INTERNATIONAL GROUP BERHAD
5082,CYMAO HOLDINGS BERHAD
5084,IBRACO BERHAD
5085,MUDAJAYA GROUP BERHAD
5087,MYCRON STEEL BERHAD
5088,APEX EQUITY HOLDINGS BERHAD
5090,MEDIA CHINESE INTERNATIONAL LIMITED
5094,CSC STEEL HOLDINGS BERHAD
5095,HEVEABOARD BERHAD
5098,MALAYSIA STEEL WORKS (KL) BHD
5099,AIRASIA GROUP BERHAD
5100,BP PLASTICS HOLDING BHD
5101,EVERGREEN FIBREBOARD BERHAD
5102,GUAN CHONG BERHAD
5104,CITRA NUSA HOLDINGS BERHAD
