code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
2658,Consumer Products & Services,15.72,9.96,17.26,8.13,16.0,0.98,6.23,0.49,3.14,12.06,12.46,0.0,0.0
2674,Industrial Products & Services,0.545,0.18,0.75,0.84,-8.0,-0.07,-12.84,0.0,0.0,-8.18,0.26,0.88,0.89
2739,Energy,0.18,0.035,0.23,0.1,-1.0,-0.16,-88.89,0.0,0.0,-163.2,-64.17,0.03,0.02
2755,Consumer Products & Services,1.01,0.55,1.03,0.68,15.0,0.07,6.93,0.0,0.0,10.16,12.26,0.0,0.0
2771,Industrial Products & Services,0.57,0.345,0.855,1.74,-1.0,-0.65,-114.04,0.0,0.0,-37.55,-23.43,0.8,0.81
2828,Consumer Products & Services,2.27,0.82,2.6,1.5,10.0,0.22,9.69,0.1,4.41,14.89,13.75,0.06,0.07
2836,Consumer Products & Services,23.38,17.34,39.17,0.57,44.0,0.53,2.27,0.4,1.71,93.05,183.26,0.03,0.04
2852,Industrial Products & Services,2.4,0.83,2.45,2.51,30.0,0.08,3.33,0.03,1.25,3.19,6.15,0.31,0.28
2925,Consumer Products & Services,1.64,1.15,1.9,2.35,-5.0,-0.34,-20.73,0.0,0.0,-14.42,-14.46,0.35,0.48
2984,Industrial Products & Services,1.41,1.0,1.6,2.71,49.0,0.03,2.13,0.0,0.0,1.05,1.0,0.01,0.01
3018,Consumer Products & Services,0.095,0.05,0.135,0.37,-2.0,-0.05,-52.63,0.0,0.0,-12.78,-5.61,0.09,0.38
3026,Consumer Products & Services,34.7,34.0,48.48,2.69,28.0,1.25,3.6,0.8,2.31,46.39,82.41,0.02,0.0
3034,Industrial Products & Services,7.75,6.7,9.6,3.01,18.0,0.43,5.55,0.25,3.23,14.42,16.19,0.5,0.42
3042,Energy,5.1,2.49,6.75,6.2897,-52.0,-0.1,-1.96,0.12,2.35,-1.55,10.25,0.02,0.02
3069,Utilities,7.82,3.1,8.1,3.98,12.0,0.63,8.06,0.06,0.77,15.83,10.64,0.29,0.02
3107,Industrial Products & Services,1.82,1.01,1.88,2.28,32.0,0.06,3.3,0.12,6.87,2.46,2.09,0.03,0.02
3182,Consumer Products & Services,4.35,2.91,5.447,8.63,-32.0,-0.13,-2.99,0.22,5.06,-1.56,5.73,1.09,0.85
3247,Industrial Products & Services,0.53,0.16,0.6,1.73,-5.0,-0.12,-22.64,0.0,0.0,-6.71,0.99,0.09,0.07
3255,Consumer Products & Services,23.5,17.3,31.74,1.16,46.0,0.51,2.17,1.08,4.6,44.0,81.8,0.02,0.01
