code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0037,RGB INTERNATIONAL BHD,Consumer Products & Services,2018-12-01,10,0.14,0.1,0.225,0.17,5.0,0.03,21.43,0.0,2.14,15.12,15.81,0.02,0.03,-13.22,-4.5,28.0,11.75,14.88,16.76,-12.49,34.43,9.7,7.65,-12.49,1.1,3.66,2.19,1.1,10.45,17.63,22.12,5.23,39.5,0.0,0.0,16.76,35.4,0.0,0,0,1,2+6+7+8+9+10,8+9+10,6+7+8+9+10,+,170,379,-0.06,0.02,105,47
0038,PLASTRADE TECHNOLOGY BERHAD,Industrial Products & Services,2018-12-01,6,0.165,0.05,0.245,0.1543,-19.0,-0.01,-6.06,0.0,0.0,-5.51,-16.32,0.01,0.02,-1.02,-6.5,27.5,10.5,18.5,0.0,-4.33,13.27,-13.44,-6.68,0.0,0.0,0.0,0.0,0.0,0.0,-5.58,-5.52,-0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2+5,1+2,1+2+3+4+5,1+2+3,63,47,0.01,-0.03,4,-4
0039,GFM SERVICES BERHAD,Industrial Products & Services,2019-12-01,10,0.18,0.06,0.51,0.23,50.0,0.0,0.0,0.0,0.0,1.57,6.16,3.0,3.11,-75.19,-0.25,29.0,14.38,15.73,0.0,-1478.09,2653.54,6.36,-16.18,-1478.09,0.78,2.59,1.56,0.78,10.88,12.35,238.77,20.01,0.0,-1.44,0.0,-27.94,0.0,-27.22,0,0,0,5+6+7+8+9+10,5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,5+6+7+10,6,131,-0.66,0.01,0,13
0039,GFM SERVICES BERHAD,Industrial Products & Services,2019-12-01,10,0.18,0.06,0.51,0.23,50.0,0.0,0.0,0.0,0.0,1.57,6.16,3.0,3.11,-75.19,-0.25,29.0,14.38,15.73,0.0,-1478.09,2653.54,6.36,-16.18,-1478.09,0.78,2.59,1.56,0.78,10.88,12.35,238.77,20.01,0.0,-1.44,0.0,-27.94,0.0,-27.22,0,0,0,5+6+7+8+9+10,5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,5+6+7+10,6,131,-0.66,0.01,0,13
0040,OPENSYS (M) BERHAD,Technology,2019-12-01,10,0.535,0.26,0.61,0.22,14.0,0.04,7.48,0.02,2.8,17.14,18.29,0.2,0.21,9.41,8.5,17.0,12.75,12.67,13.04,7.51,3.16,9.41,8.18,7.51,3.77,2.07,2.51,3.77,51.75,2.79,17.82,12.51,14.67,13.03,0.0,22.68,14.66,13.04,1,0,0,2+10,+,4+10,6,27,103,0.0,0.04,10,13
0041,MSCM HOLDINGS BERHAD,Technology,2019-03-01,10,0.155,0.04,0.25,0.2202,-7.0,-0.02,-12.9,0.0,0.0,-10.4,-54.66,0.0,0.0,-3.36,-9.17,14.75,2.79,9.07,0.0,4.15,13.18,-7.86,-6.03,4.15,1.66,0.0,1.36,1.66,0.0,-25.52,-22.7,-5.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+9+10,1+2+4,1+2+3+4+5+6+8+9+10,2+6+10,23,10,0.04,-0.05,0,1
0043,METRONIC GLOBAL BERHAD,Industrial Products & Services,2019-06-01,10,0.035,0.015,0.08,0.09,-3.0,-0.01,-28.57,0.0,0.0,-11.89,-17.9,0.0,0.0,-13.6,-8.5,5.5,-1.5,4.12,0.0,-25.95,49.69,-19.5,-4.43,-25.95,0.0,0.0,0.0,0.0,0.0,-4.24,-4.28,-5.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+7+9+10,1+2+6+7+8+9+10,1+2+4+5+6+7+8+9+10,2+3+4+5+8+10,52,27,-0.03,-0.02,0,2
0043,METRONIC GLOBAL BERHAD,Industrial Products & Services,2019-06-01,10,0.035,0.015,0.08,0.09,-3.0,-0.01,-28.57,0.0,0.0,-11.89,-17.9,0.0,0.0,-13.6,-8.5,5.5,-1.5,4.12,0.0,-25.95,49.69,-19.5,-4.43,-25.95,0.0,0.0,0.0,0.0,0.0,-4.24,-4.28,-5.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+7+9+10,1+2+6+7+8+9+10,1+2+4+5+6+7+8+9+10,2+3+4+5+8+10,52,27,-0.03,-0.02,0,2
0045,G NEPTUNE BERHAD,Technology,2019-06-01,9,0.035,0.03,0.085,-0.0197,-6.0,-0.01,-28.57,0.0,0.0,30.46,0.0,0.0,0.0,-100.29,-6.5,-1.75,-4.12,,0.0,-14.01,18.79,0.0,-11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+5+6+8+9,1+2+4+5+7+8+9,1+2+4+5+6+7+8+9,1+2+3+4+5+7+9,1,0,-0.02,0.0,0,-1
0045,G NEPTUNE BERHAD,Technology,2019-06-01,9,0.035,0.03,0.085,-0.0197,-6.0,-0.01,-28.57,0.0,0.0,30.46,0.0,0.0,0.0,-100.29,-6.5,-1.75,-4.12,,0.0,-14.01,18.79,0.0,-11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+5+6+8+9,1+2+4+5+7+8+9,1+2+4+5+6+7+8+9,1+2+3+4+5+7+9,1,0,-0.02,0.0,0,-1
0048,ANCOM LOGISTICS BERHAD,Transportation & Logistics,2019-05-01,9,0.085,0.03,0.105,0.05,230.0,0.0,0.0,0.0,0.0,0.8,-1.45,0.33,0.2,2.82,-10.5,16.0,2.75,7.89,0.0,5.44,11.7,-3.17,-1.9,0.0,8.05,0.0,0.0,0.0,138.12,-2.83,-9.8,-7.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+5+6+7,1+2+3+4,1+2+3+4+5+6+7+8,5+9,62,30,0.03,0.0,-13,3
0049,OCEANCASH PACIFIC BERHAD,Consumer Products & Services,2018-12-01,10,0.67,0.29,1.02,0.4015,23.0,0.03,4.48,0.01,1.49,7.22,7.35,0.0,0.0,7.48,7.0,21.75,14.38,13.68,29.24,8.36,3.01,5.86,6.46,8.36,1.04,1.85,2.07,1.04,17.42,2.36,4.43,5.56,-1.34,29.1,0.0,-11.29,-1.34,29.24,1,0,1,1+10,+,1+2+5+9+10,+,55,85,0.01,0.02,6,10
0049,OCEANCASH PACIFIC BERHAD,Consumer Products & Services,2018-12-01,10,0.67,0.29,1.02,0.4015,23.0,0.03,4.48,0.01,1.49,7.22,7.35,0.0,0.0,7.48,7.0,21.75,14.38,13.68,29.24,8.36,3.01,5.86,6.46,8.36,1.04,1.85,2.07,1.04,17.42,2.36,4.43,5.56,-1.34,29.1,0.0,-11.29,-1.34,29.24,1,0,1,1+10,+,1+2+5+9+10,+,55,85,0.01,0.02,6,10
0050,SYSTECH BHD,Technology,2019-03-01,9,0.16,0.06,0.205,0.153,-89.0,-0.0,-0.0,0.0,1.25,-1.18,0.77,0.11,0.12,-85.16,-2.5,32.5,15.0,20.12,0.0,-1.37,14.25,1.15,1.31,0.0,2.15,1.15,1.87,0.0,39.12,36.36,33.27,29.71,-26.17,0.0,0.0,-33.85,-28.29,0.0,0,0,0,6+9,8+9,1+2+4+6+8+9,9,0,28,-0.02,0.0,-1,6
0050,SYSTECH BHD,Technology,2019-03-01,9,0.16,0.06,0.205,0.153,-89.0,-0.0,-0.0,0.0,1.25,-1.18,0.77,0.11,0.12,-85.16,-2.5,32.5,15.0,20.12,0.0,-1.37,14.25,1.15,1.31,0.0,2.15,1.15,1.87,0.0,39.12,36.36,33.27,29.71,-26.17,0.0,0.0,-33.85,-28.29,0.0,0,0,0,6+9,8+9,1+2+4+6+8+9,9,0,28,-0.02,0.0,-1,6
