code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0051,CUSCAPI BERHAD,0.11,-0.01,0.045,0.235,0.0,0.0,0.0,-14.84,73.91,-0.17,-0.17,-0.17,-0.13,-0.13,-0.13,0.11
0051,CUSCAPI BERHAD,0.11,-0.01,0.045,0.235,0.0,0.0,0.0,-14.84,73.91,-0.17,-0.17,-0.17,-0.13,-0.13,-0.13,0.11
0053,OSK VENTURES INTERNATIONAL BERHAD,0.395,-0.07,0.3,0.58,-9.65,0.0,0.0,-13.42,5.19,-1.32,-0.74,-0.74,-0.99,-0.55,-0.55,0.39
0054,KARYON INDUSTRIES BERHAD,0.185,0.01,0.085,0.2,0.25,-10.16,-3.02,13.25,10.33,0.11,0.23,0.15,0.08,0.17,0.11,0.12
0054,KARYON INDUSTRIES BERHAD,0.185,0.01,0.085,0.2,0.25,-10.16,-3.02,13.25,10.33,0.11,0.23,0.15,0.08,0.17,0.11,0.12
0054,KARYON INDUSTRIES BERHAD,0.185,0.01,0.085,0.2,0.25,-10.16,-3.02,13.25,10.33,0.11,0.23,0.15,0.08,0.17,0.11,0.12
0054,KARYON INDUSTRIES BERHAD,0.185,0.01,0.085,0.2,0.25,-10.16,-3.02,13.25,10.33,0.11,0.23,0.15,0.08,0.17,0.11,0.12
0055,SERSOL BERHAD,0.115,-0.0,0.05,0.155,0.0,0.0,0.0,-16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
0056,GRAND-FLO BERHAD,0.235,0.01,0.165,0.3,-23.76,-16.31,0.0,7.0,19.05,0.6,0.3,0.12,0.45,0.22,0.09,0.21
0058,JCBNEXT BERHAD,1.23,0.07,1.15,1.56,-26.92,-31.64,-12.08,14.87,133.41,13.35,21.99,3.48,10.01,16.49,2.61,1.29
0058,JCBNEXT BERHAD,1.23,0.07,1.15,1.56,-26.92,-31.64,-12.08,14.87,133.41,13.35,21.99,3.48,10.01,16.49,2.61,1.29
0058,JCBNEXT BERHAD,1.23,0.07,1.15,1.56,-26.92,-31.64,-12.08,14.87,133.41,13.35,21.99,3.48,10.01,16.49,2.61,1.29
0058,JCBNEXT BERHAD,1.23,0.07,1.15,1.56,-26.92,-31.64,-12.08,14.87,133.41,13.35,21.99,3.48,10.01,16.49,2.61,1.29
0059,ECOBUILT HOLDINGS BERHAD,0.165,0.01,0.075,0.235,-23.82,-22.47,4.75,-2.5,0.0,0.46,0.38,0.07,0.34,0.29,0.05,0.13
0060,VORTEX CONSOLIDATED BERHAD,0.07,-0.01,0.02,0.27,0.0,0.0,0.0,1.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.1
0064,EFFICIENT E-SOLUTIONS BERHAD,0.12,-0.01,0.05,0.205,0.0,0.0,0.0,1.5,8.25,-0.11,-0.11,-0.11,-0.08,-0.08,-0.08,0.1
0065,EXCEL FORCE MSC BERHAD,0.49,0.01,0.23,0.745,0.49,-7.92,-5.89,93.0,85.88,0.18,0.39,0.35,0.14,0.29,0.26,0.4
0066,VSOLAR GROUP BERHAD,0.05,-0.01,0.015,0.245,0.0,0.0,0.0,-7.25,0.0,-0.1,-0.1,-0.1,-0.08,-0.08,-0.08,0.09
