code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
7579,10,154,315,0.03,-0.06,16,24,-4.45,-10.02,0.06,0.12,3.12,-0.03,0.0,0,0,4,5,4,0.0,0.0,0.0,0.0,1.0,1.0,-0.09,-0.0
7471,10,229,60,0.01,-0.03,25,3,-0.14,-3.22,0.15,0.12,-3.68,-0.0,0.0,0,0,9,10,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
7439,10,167,274,0.16,0.08,-2,-26,13.53,6.24,0.22,0.27,15.85,0.2,0.0,5,0,5,8,5,0.0,0.0,0.0,0.0,1.0,1.0,3.17,0.0
7412,10,93,104,-0.03,-0.05,-3,-1,-0.86,-4.04,0.09,0.1,3.15,-0.01,0.0,0,0,4,8,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.03,-0.0
0107,9,13,21,-0.11,-0.08,1,-8,-111.11,-102.73,0.38,0.73,6.08,-0.03,0.0,0,0,4,5,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.18,-0.0
7943,7,26,22,-0.02,-0.01,1,2,-2.58,-2.64,0.0,0.0,-2.75,-0.01,0.0,0,0,3,7,4,0.0,0.0,0.0,0.0,1.0,1.0,0.03,-0.0
7986,9,20,15,-0.03,-0.1,1,-2,-12.14,-12.3,0.01,0.01,-4.32,-0.09,0.0,0,0,5,9,7,0.0,0.0,0.0,0.0,1.0,1.0,0.39,-0.0
8044,8,51,30,0.03,-0.05,4,-2,-0.36,-4.17,0.0,0.0,-34.47,-0.0,0.0,0,0,7,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
0085,9,3,8,-0.04,-0.16,0,-9,-19.85,-47.83,0.0,0.01,-2.98,-0.03,0.0,0,0,5,9,8,0.0,0.0,0.0,0.0,1.0,1.0,0.09,-0.0
8567,10,550,191,0.04,-0.01,2,43,-1.34,-1.97,0.02,0.01,18.0,-0.01,0.0,0,0,7,7,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.18,-0.0
0066,10,4,3,-0.02,-0.01,0,-2,-23.01,-27.0,0.0,0.01,-9.5,-0.01,0.0,0,0,5,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.1,-0.0
0068,10,6,4,0.08,-0.04,0,1,-117.67,-132.16,0.18,0.15,-6.82,-0.03,0.0,0,0,9,10,7,0.0,0.0,0.0,0.0,1.0,1.0,0.2,-0.0
0069,6,120,121,0.17,-0.17,24,-39,6.25,-15.02,0.01,0.02,3.91,0.0,0.0,0,0,4,4,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0070,9,42,25,0.02,-0.01,7,-3,-22.2,-12.58,0.0,0.0,-3.0,-0.01,0.0,0,0,6,9,6,0.0,0.0,0.0,0.0,1.0,1.0,0.03,-0.0
8443,9,106,155,0.0,0.06,23,-8,6.64,6.29,0.0,0.0,15.35,0.07,1.72,3,1,4,6,2,0.0,0.0,0.0,0.0,1.0,1.0,1.07,0.12
8435,10,140,80,0.02,-0.24,15,4,-25.25,-20.67,0.02,0.03,-7.31,-0.26,0.0,0,0,7,9,3,0.0,0.0,0.0,0.0,1.0,1.0,1.9,-0.0
0072,8,23,20,-0.18,-0.03,-4,2,-8.47,-27.85,0.01,0.25,-4.42,-0.01,0.0,0,0,5,8,6,0.0,0.0,0.0,0.0,1.0,1.0,0.04,-0.0
8362,10,66,91,0.2,-0.06,51,6,-1.25,-9.76,0.3,0.31,-8.75,-0.01,0.0,0,0,5,10,3,0.0,0.0,0.0,0.0,1.0,1.0,0.09,-0.0
0074,8,144,361,-0.01,0.0,1,-11,-5.52,9.16,0.0,0.0,-9.25,-0.0,81.71,0,0,4,8,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
8338,10,45,35,-0.02,-0.03,-5,-5,-31.6,-56.22,0.01,0.01,0.5,-0.02,0.0,0,0,7,10,10,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,-0.0
0079,9,7,9,-0.01,-0.01,0,3,-6.92,-3.86,0.01,0.01,-12.25,-0.01,0.0,0,0,4,9,8,0.0,0.0,0.0,0.0,1.0,1.0,0.12,-0.0
0081,10,12,6,-0.13,0.0,0,4,-9.05,1.63,0.01,0.02,5.83,-0.02,21.77,0,0,5,9,5,0.0,0.0,0.0,0.0,1.0,1.0,-0.12,-0.44
0083,10,237,243,0.11,0.01,49,35,-1.11,1.5,0.1,0.11,55.62,-0.01,0.0,0,0,5,6,1,0.0,0.0,0.0,0.0,1.0,1.0,-0.56,-0.0
8079,10,61,102,0.01,0.05,18,11,10.86,14.8,0.1,0.16,15.29,0.04,15.2,2,4,4,3,0,0.0,0.0,0.0,0.0,1.0,1.0,0.61,0.61
7165,7,135,9,0.0,-0.02,-2,-15,-0.6,-4.71,0.0,0.0,-20.25,-0.0,0.0,0,0,5,7,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
1201,10,60,3,-0.19,0.0,70,-1,-0.83,-0.51,0.0,0.0,8.38,-0.0,0.0,0,0,10,10,6,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
4995,8,61,47,0.02,-0.1,2,-4,-8.4,-37.66,0.0,0.01,-18.27,-0.02,0.0,0,0,3,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.37,-0.0
5592,10,39,12,0.04,-0.05,7,-9,-4.72,-4.59,0.0,0.0,-16.75,-0.05,0.0,0,0,9,8,5,0.0,0.0,0.0,0.0,1.0,1.0,0.84,-0.0
5025,10,23,7,-0.02,-0.02,3,-4,-16.91,-18.27,0.0,0.0,-18.6,-0.01,0.0,0,0,6,10,6,0.0,0.0,0.0,0.0,1.0,1.0,0.19,-0.0
5028,10,434,361,0.09,0.07,-29,-22,9.67,6.78,0.13,0.13,25.97,0.11,1.21,3,0,6,8,4,0.0,0.0,0.0,0.0,1.0,1.0,2.86,0.13
5032,10,490,694,0.43,0.2,132,326,6.77,6.89,0.92,0.92,16.6,0.2,0.0,2,3,5,7,0,0.0,0.0,1.0,0.0,0.0,1.0,3.32,0.0
5681,10,23268,18711,0.88,0.28,0,363,4.89,4.75,0.02,0.02,46.04,0.28,0.0,0,5,6,7,6,0.0,0.0,0.0,0.0,1.0,1.0,12.89,0.0
5649,10,58,57,-0.16,-0.07,-2,-1,-9.84,-13.29,0.17,0.15,-4.54,-0.05,0.0,0,0,4,10,4,0.0,0.0,0.0,0.0,1.0,1.0,0.23,-0.0
5035,10,310,412,0.17,0.17,-3,16,0.13,7.66,0.03,0.02,22.43,0.0,9.33,0,0,5,7,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5036,9,50,45,-0.12,-0.06,1,9,-3.85,-13.85,0.28,0.23,-1.92,-0.02,0.0,0,5,5,9,4,0.0,0.0,0.0,0.0,1.0,1.0,0.04,-0.0
4588,10,12820,11739,0.46,0.39,1002,255,5.29,9.84,0.34,0.45,-68.43,0.18,1.24,3,1,4,8,0,0.0,0.0,0.0,0.0,1.0,1.0,-12.32,0.22
5568,10,169,89,0.08,0.03,19,-4,2.67,2.4,0.0,0.0,-5.41,0.04,0.59,2,0,5,6,4,0.0,0.0,0.0,0.0,1.0,1.0,-0.22,0.02
5037,10,638,5,-0.01,0.0,-15,-3,-6.25,-7.86,0.03,0.0,-3.12,-0.0,0.0,0,0,10,10,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0
5048,10,132,117,0.06,-0.02,19,8,1.99,-2.91,0.0,0.0,-8.62,0.04,0.0,3,0,6,7,1,0.0,0.0,0.0,0.0,1.0,1.0,-0.34,0.0
5056,10,680,1117,0.12,0.0,16,110,2.16,-0.13,0.08,0.09,15.25,0.03,0.0,2,0,4,8,4,0.0,0.0,0.0,0.0,1.0,1.0,0.46,0.0
5068,10,44,183,-0.08,0.0,-4,-10,2.1,5.24,0.0,0.01,-0.75,0.0,72.63,0,0,4,9,7,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0
5071,10,675,211,0.42,-0.2,132,23,-12.71,-9.29,0.06,0.03,13.76,-0.25,0.0,0,0,5,8,0,0.0,0.0,0.0,0.0,1.0,1.0,-3.44,-0.0
5916,10,2739,984,-0.27,0.07,56,46,4.07,8.56,0.21,0.21,-177.94,0.04,12.13,0,0,7,9,2,0.0,0.0,0.0,0.0,1.0,1.0,-7.12,0.49
5983,10,1528,2083,0.37,0.57,-13,34,8.65,13.44,0.0,0.01,3.32,0.4,12.42,4,5,4,8,4,0.0,0.0,0.0,0.0,1.0,1.0,1.33,4.97
5021,10,226,768,0.27,-0.03,0,-8,-0.43,-3.96,0.05,0.13,4.88,-0.0,0.0,0,0,5,8,6,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0
