code,ROE2,D/E,D/E2
7226,3.39,0.01,0.01
7227,4.08,0.01,0.02
7228,4.8,0.1,0.1
7229,12.02,0.06,0.03
7230,4.24,0.03,0.06
7231,24.75,0.0,0.0
7232,2.66,0.03,0.03
7233,22.95,0.04,0.06
7234,-33.23,0.03,0.03
7235,6.82,0.05,0.06
7237,21.8,0.0,0.0
7239,1.7,0.16,0.18
7240,-21.42,0.04,0.04
7241,-1.51,0.07,0.04
7243,-30.81,1.62,0.0
7245,-51.6,0.1,0.1
7246,-3.89,0.22,0.23
7247,10.57,0.25,0.3
7248,11.76,0.0,0.0
7250,-4.85,0.81,0.85
7251,0.0,0.0,0.0
7252,20.13,0.19,0.2
7253,-31.91,0.02,0.02
7277,15.91,0.36,0.36
7285,-6.21,0.05,0.1
7293,6.17,1.44,0.97
7315,4.09,0.0,0.0
7374,-6.48,0.16,0.22
7412,-4.04,0.1,0.1
7439,6.24,0.22,0.27
7471,-3.22,0.16,0.12
7498,-6.39,0.04,0.07
7544,-2.99,0.12,0.06
7579,-10.02,0.11,0.12
7609,1.46,0.0,0.0
7668,10.68,0.01,0.01
7676,-12.29,0.02,0.02
7692,1.78,0.06,0.06
7722,4.39,0.18,0.18
7757,4.14,0.0,0.0
7773,-5.65,0.13,0.13
7803,12.64,0.01,0.01
7811,2.15,0.25,0.24
7854,9.44,0.04,0.0
7935,-10.54,0.01,0.02
7943,-2.64,0.0,0.0
7986,-0.03,0.0,0.01
8044,-4.17,0.0,0.0
8052,-1.26,0.0,0.01
8079,14.8,0.1,0.16
8117,1.96,0.08,0.07
8125,20.77,0.02,0.02
8133,-66.92,0.56,0.68
8176,11.76,0.16,0.17
8273,10.07,0.04,0.07
8303,0.0,0.21,0.0
8338,-56.22,0.01,0.01
8346,-35.49,0.42,0.39
8362,-9.76,0.3,0.31
8397,0.1,1.13,1.06
8419,4.17,0.04,0.05
8435,-20.67,0.02,0.03
8443,6.29,0.0,0.0
8478,-9.4,0.06,0.05
8486,5.62,0.0,0.0
8524,7.29,0.38,0.43
8532,1.76,0.0,0.0
8567,-1.97,0.02,0.01
8605,5.82,0.04,0.04
8621,15.62,0.03,0.02
8648,-5.78,0.0,0.0
8672,-1.13,0.24,0.23
8702,-2.9,0.22,0.23
8745,-30.73,0.0,0.0
8869,13.73,1.06,0.88
8885,-10.36,0.28,0.25
8907,-4.67,0.08,0.02
8931,-47.79,0.0,0.0
