code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
0056,GRAND-FLO BERHAD,0.245,0.165,0.3,0.0,7.0,19.05,1.43,1.07,0.21
0051,CUSCAPI BERHAD,0.12,0.045,0.235,0.0,-14.84,73.91,1.04,0.78,0.11
0041,MSCM HOLDINGS BERHAD,0.11,0.04,0.25,0.0,2.79,0.0,0.55,0.41,0.11
0029,DIGISTAR CORPORATION BERHAD,0.055,0.015,0.07,0.0,2.0,4.23,0.31,0.23,0.03
0021,GHL SYSTEMS BERHAD,2.05,1.04,2.1,11.65,41.25,0.0,7.46,5.6,1.39
0008,WILLOWGLEN MSC BERHAD,0.5,0.3,0.645,3.44,20.43,30.9,2.96,2.22,0.41
5235SS,KLCC REAL ESTATE INVESTMENT TRUST,7.79,7.38,8.48,0.0,9.57,50.97,58.8,44.1,7.74
5227,IGB REAL ESTATE INVESTMENT TRUST,1.67,1.43,2.1,3.83,23.24,38.71,10.36,7.77,1.65
5212,PAVILION REAL ESTATE INV TRUST,1.63,1.35,1.92,0.0,13.37,26.48,10.31,7.73,1.54
5180,CAPITALAND MALAYSIA MALL TRUST,0.815,0.735,1.13,0.0,17.88,82.74,7.49,5.62,0.87
5176,SUNWAY REAL ESTATE INVESTMENT TRUST,1.58,1.5,1.98,5.67,7.54,21.73,8.17,6.13,1.66
5130,ATRIUM REAL ESTATE INVESTMENT TRUST,1.01,0.805,1.2409999999999999,0.0,29.25,71.82,8.68,6.51,0.95
5127,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,0.68,0.5,0.86,0.0,14.68,72.17,5.85,4.39,0.62
5123,QUILL CAPITA TRUST,0.745,0.5,1.1,0.0,20.63,45.19,5.37,4.03,0.7
5121,HEKTAR REAL ESTATE INVESTMENT TRUST,0.695,0.55,1.14,0.0,78.54,78.0,6.23,4.67,0.74
5120,AMFIRST REAL ESTATE INVESTMENT TRUST,0.45,0.32,0.515,0.0,18.75,60.72,3.62,2.72,0.38
5116,AL-AQAR HEALTHCARE REIT,1.37,1.19,1.65,0.23,12.56,69.11,11.5,8.62,1.34
5111,TOWER REAL ESTATE INVESTMENT TRUST,0.715,0.49,0.925,22.64,9.36,0.0,2.03,1.52,0.63
5110,UOA REAL ESTATE INVESTMENT TRUST,1.22,1.05,1.4,0.0,15.38,58.88,9.69,7.27,1.17
5109,YTL HOSPITALITY REIT,0.96,0.7,1.39,0.0,-47.84,102.34,9.71,7.28,0.93
5106,AXIS REAL ESTATE INVESTMENT TRUST,1.95,1.66,2.06,3.83,20.29,69.57,14.78,11.08,1.79
4952,AMANAH HARTA TANAH PNB,0.71,0.58,0.83,8.35,52.92,105.24,5.76,4.32,0.66
9962,GROMUTUAL BERHAD,0.225,0.17,0.35,0.0,8.91,26.77,1.39,1.04,0.23
9814,BERTAM ALLIANCE BERHAD,0.11,0.11,0.285,0.0,14.64,28.73,0.71,0.53,0.17
9687,IDEAL UNITED BINTANG INTERNATIONAL BERHAD,1.14,0.9,1.9,0.0,16.0,0.0,5.7,4.28,1.23
9539,MULTI-USAGE HOLDINGS BERHAD,0.31,0.24,0.54,0.0,16.0,0.0,1.55,1.16,0.34
8923,JIANKUN INTERNATIONAL BERHAD,0.335,0.29,0.4,0.0,-13.1,0.0,1.7,1.27,0.33
8893,MK LAND HOLDINGS BERHAD,0.13,0.05,0.19,0.0,22.42,23.85,0.81,0.61,0.1
8664,S P SETIA BERHAD,0.76,0.55,2.25,0.0,21.59,33.77,5.08,3.81,1.11
8613,ENRA GROUP BERHAD,0.99,0.9,1.52,0.0,-13.0,2.23,5.06,3.8,1.1
8583,MAH SING GROUP BERHAD,0.43,0.305,0.95,0.0,16.34,46.68,3.15,2.36,0.52
8494,LBI CAPITAL BERHAD,0.445,0.345,0.875,0.0,11.78,17.78,2.59,1.94,0.52
8206,ECO WORLD DEVELOPMENT GROUP BERHAD,0.395,0.295,0.9,8.37,95.0,5.0,1.64,1.23,0.49
8141,MAJUPERAK HOLDINGS BERHAD,0.36,0.18,0.415,2.51,11.5,3.61,1.74,1.3,0.26
7889,THRIVEN GLOBAL BERHAD,0.215,0.14,0.48,16.83,17.12,1.37,0.7,0.52,0.25
7765,RAPID SYNERGY BERHAD,5.68,5.43,6.17,20.5,154.0,0.0,16.8,12.6,5.67
7617,MAGNA PRIMA BERHAD,0.84,0.7,1.25,0.0,10.5,6.95,4.49,3.37,0.88
7323,KEN HOLDINGS BERHAD,0.415,0.34,0.66,3.66,11.12,21.03,2.26,1.69,0.45
7249,EWEIN BERHAD,0.325,0.185,0.73,5.54,34.12,25.79,1.73,1.3,0.36
7198,DPS RESOURCES BERHAD,0.065,0.035,0.09,0.0,-7.5,0.0,0.3,0.22,0.05
7189,MB WORLD GROUP BERHAD,0.9,0.89,1.75,8.82,-45.12,4.21,3.67,2.75,1.17
7131,ACME HOLDINGS BERHAD,0.205,0.165,0.335,13.74,13.5,0.0,0.7,0.52,0.22
7105,HCK CAPITAL GROUP BERHAD,1.2,1.18,1.3,0.0,-23.5,0.0,6.0,4.5,1.22
7079,TIGER SYNERGY BERHAD,0.1,0.03,0.135,0.0,4.5,0.0,0.5,0.38,0.06
7077,GSB GROUP BERHAD,0.48,0.4,1.1,0.0,-1.5,0.0,2.4,1.8,0.63
7066,YONG TAI BERHAD,0.075,0.035,0.36,0.0,21.5,0.0,0.4,0.3,0.14
7055,PLB ENGINEERING BERHAD,1.1,0.98,1.6,0.0,-36.0,44.16,7.93,5.95,1.18
7010,GRAND HOOVER BERHAD,0.5,0.345,0.635,0.0,13.75,0.0,2.5,1.88,0.44
7007,ARK RESOURCES HOLDINGS BERHAD,0.16,0.115,0.33,0.0,6.35,0.0,0.8,0.6,0.19
7003,Y&G CORPORATION BHD,0.72,0.65,0.995,0.0,51.54,34.61,4.85,3.64,0.76
6912,PASDEC HOLDINGS BERHAD,0.22,0.15,0.42,0.0,1.25,0.0,1.1,0.82,0.24
6815,EUPE CORPORATION BERHAD,0.555,0.38,0.72,17.32,5.63,3.67,1.83,1.37,0.49
6769,JKG LAND BERHAD,0.075,0.045,0.09,0.0,13.1,35.96,0.54,0.4,0.06
6718,CRESCENDO CORPORATION BERHAD,0.92,0.77,1.3,16.4,12.72,38.37,4.13,3.1,0.94
6602,BCB BERHAD,0.275,0.19,0.395,4.99,12.26,1.63,1.21,0.91,0.26
6548,MALAYSIA PACIFIC CORPORATION BERHAD,0.08,0.055,0.165,0.0,-1.87,0.0,0.4,0.3,0.09
6378,WMG HOLDINGS BERHAD,0.09,0.035,0.15,0.0,3.94,0.0,0.45,0.34,0.07
6181,MALTON BERHAD,0.375,0.235,0.605,10.13,7.57,33.74,1.89,1.42,0.36
6173,BINA DARULAMAN BERHAD,0.28,0.19,0.43,0.0,0.38,24.74,1.75,1.31,0.27
6114,MKH BERHAD,1.03,0.81,1.86,1.83,11.8,22.27,5.97,4.48,1.16
6076,ENCORP BERHAD,0.19,0.185,0.4,0.0,14.5,36.12,1.29,0.97,0.26
6041,FARLIM GROUP (MALAYSIA) BHD,0.265,0.165,0.36,0.0,-2.67,32.5,1.72,1.29,0.23
6017,SHL CONSOLIDATED BHD,2.0,1.75,2.81,1.37,11.71,61.82,15.55,11.66,2.1
5827,ORIENTAL INTEREST BERHAD,1.65,1.58,2.2,9.82,55.5,108.24,13.09,9.82,1.78
5789,LBS BINA GROUP BERHAD,0.36,0.31,0.585,8.1,24.66,20.3,1.72,1.29,0.4
5738,COUNTRY HEIGHTS HOLDINGS BHD,0.955,0.8,1.58,19.39,-38.0,0.0,2.9,2.17,1.06
5606,IGB BERHAD,2.41,2.35,4.06,10.29,27.32,3.77,9.41,7.06,2.91
5401,TROPICANA CORPORATION BERHAD,0.8,0.72,0.94,0.0,9.32,31.21,5.25,3.94,0.79
5288,SIME DARBY PROPERTY BERHAD,0.65,0.475,1.12,0.0,6.84,142.84,7.89,5.92,0.69
5283,ECO WORLD INTERNATIONAL BERHAD,0.4,0.31,1.14,422.52,-4.12,0.0,0.09,0.07,0.58
5249,IOI PROPERTIES GROUP BERHAD,1.07,0.825,1.43,0.0,6.11,17.22,6.27,4.7,1.02
5239,TITIJAYA LAND BERHAD,0.27,0.24,0.35,0.0,12.2,7.39,1.45,1.09,0.28
5236,MATRIX CONCEPTS HOLDINGS BERHAD,1.7,1.24,1.9969999999999999,3.12,11.64,14.97,8.91,6.68,1.49
5213,SENTORIA GROUP BERHAD,0.135,0.09,0.33,0.0,7.96,0.0,0.7,0.52,0.17
5207,SBC CORPORATION BERHAD,0.36,0.18,0.5,4.16,-28.82,7.91,1.71,1.28,0.29
5200,UOA DEVELOPMENT BHD,1.75,1.38,2.42,3.97,4.84,33.99,10.45,7.84,1.72
5191,TAMBUN INDAH LAND BERHAD,0.515,0.36,0.8,0.0,5.37,28.84,3.35,2.51,0.51
5182,MCT BERHAD,0.21,0.07,0.41,0.06,7.48,6.28,1.12,0.84,0.18
5175,IVORY PROPERTIES GROUP BERHAD,0.135,0.115,0.22,0.0,16.59,0.0,0.7,0.52,0.15
5158,TA GLOBAL BERHAD,0.205,0.18,0.275,6.99,8.52,45.22,1.21,0.91,0.21
5148,UEM SUNRISE BERHAD,0.415,0.275,0.89,10.35,46.54,18.75,1.86,1.4,0.48
5084,IBRACO BERHAD,0.565,0.23,0.72,0.0,7.25,39.03,3.89,2.92,0.39
5075,PLENITUDE BERHAD,1.02,0.735,1.46,0.0,8.36,29.5,6.6,4.95,0.97
5073,NAIM HOLDINGS BERHAD,0.625,0.335,1.41,23.7,6.5,5.67,1.82,1.36,0.69
5062,HUA YANG BERHAD,0.26,0.145,0.465,0.0,21.54,29.99,1.69,1.27,0.25
