code,category,price,NTA,52w low,52w high,market cap,ROE,P/E,EPS,EY,DPS,DY
5113,Plantation,0.215,0.27,0.115,0.465,305.0M,-13.63,-6.0,-3.68,-17.12,0.0,0.0
2542,Plantation,2.25,4.1,2.25,3.07,145.9M,0.8,69.0,3.26,1.45,3.0,1.33
9741,Industrial Products & Services,0.345,0.69,0.17,0.79,163.1M,5.3,9.0,3.66,10.61,0.5,1.45
7803,Industrial Products & Services,0.78,0.81,0.42,0.895,196.7M,5.56,17.0,4.5,5.77,2.0,2.56
8567,Utilities,0.13,0.52,0.1,0.3,110.1M,-1.96,-13.0,-1.02,-7.85,0.0,0.0
0183,Consumer Products & Services,0.415,0.3877,0.255,1.03,161.0M,-4.13,-26.0,-1.6,-3.86,2.4,5.78
9822,Industrial Products & Services,5.22,4.21,4.2,8.64,705.6M,15.35,8.0,64.62,12.38,29.05,5.57
5147,Industrial Products & Services,0.48,0.57,0.35,0.765,130.6M,15.35,5.0,8.75,18.23,0.0,0.0
7943,Consumer Products & Services,0.225,0.36,0.185,0.4,14.9M,-5.86,-11.0,-2.11,-9.38,0.0,0.0
5218,Energy,0.105,0.86,0.06,0.364,"1,677.8M",1.27,10.0,1.09,10.38,0.5,4.76
7811,Industrial Products & Services,0.42,1.46,0.2,0.815,30.6M,2.25,13.0,3.29,7.83,5.0,11.9
4596,Property,0.375,3.14,0.345,0.72,52.4M,-2.65,-5.0,-8.32,-22.19,0.0,0.0
5170,Industrial Products & Services,0.175,0.5,0.1,0.455,55.5M,-54.14,-1.0,-27.07,-154.69,0.0,0.0
9237,Industrial Products & Services,2.19,0.6,0.53,3.49,188.1M,5.87,62.0,3.52,1.61,0.0,0.0
5126,Plantation,2.47,3.86,1.9,4.22,"1,410.2M",4.08,16.0,15.73,6.37,5.0,2.02
5135,Plantation,1.44,1.98,1.3,2.11,403.2M,3.77,19.0,7.47,5.19,5.0,3.47
5252,Telecommunications & Media,0.105,0.38,0.085,0.25,44.0M,1.84,15.0,0.7,6.67,0.0,0.0
5157,Consumer Products & Services,0.145,0.36,0.08,0.4,19.9M,-16.97,-2.0,-6.11,-42.14,0.0,0.0
5207,Property,0.33,1.62,0.18,0.51,85.2M,4.49,5.0,7.28,22.06,1.0,3.03
7239,Industrial Products & Services,0.105,0.42,0.065,0.36,11.1M,3.5,7.0,1.47,14.0,0.0,0.0
7247,Industrial Products & Services,1.28,0.853,0.76,1.68,247.8M,1.98,76.0,1.69,1.32,1.5,1.17
0099,Industrial Products & Services,0.715,0.29,0.48,1.3,254.1M,20.83,12.0,6.04,8.45,5.5,7.69
4731,Industrial Products & Services,7.48,4.57,5.96,9.87,"3,858.8M",16.32,10.0,74.58,9.97,20.0,2.67
7045,Energy,0.065,0.17,0.035,0.675,30.4M,-133.59,-0.0,-22.71,-349.38,0.0,0.0
7073,Industrial Products & Services,0.195,1.12,0.12,0.565,93.9M,-26.86,-1.0,-30.08,-154.26,0.0,0.0
4286,Property,0.245,1.22,0.12,0.365,59.5M,2.68,7.0,3.27,13.35,0.0,0.0
5145,Transportation & Logistics,0.24,0.66,0.125,0.74,120.0M,-11.35,-3.0,-7.49,-31.21,0.0,0.0
7053,Transportation & Logistics,0.84,0.983,0.795,1.0,67.6M,-4.29,-20.0,-4.22,-5.02,1.8,2.14
9792,Consumer Products & Services,0.61,0.0755,0.595,0.645,771.4M,49.14,16.0,3.71,6.08,2.5,4.1
2224,Property,0.41,2.0089,0.325,0.715,174.7M,2.63,8.0,5.29,12.9,21.5,52.44
